Date,interest,vacancy,cpi,price,value,adj_price,adj_value
2/2/2008,5.68,10.1,212.174,215000,243109.3812,101331.9257,114580.1942
2/9/2008,5.67,10.1,212.687,204250,243109.3812,96033.1379,114303.8273
2/16/2008,5.72,10.1,212.687,215000,243109.3812,101087.5136,114303.8273
2/23/2008,6.04,10.1,212.687,200000,243109.3812,94034.89635,114303.8273
3/1/2008,6.24,10.1,212.687,215000,240739.0886,101087.5136,113189.3762
3/8/2008,6.03,10.1,213.448,210000,240739.0886,98384.61827,112785.8254
3/15/2008,6.13,10.1,213.448,216000,240739.0886,101195.6074,112785.8254
3/22/2008,5.87,10.1,213.448,220000,240739.0886,103069.6001,112785.8254
3/29/2008,5.85,10.1,213.448,217150,240739.0886,101734.3803,112785.8254
4/5/2008,5.88,10,213.942,217750,240313.9824,101779.9217,112326.6971
4/12/2008,5.88,10,213.942,221100,240313.9824,103345.7666,112326.6971
4/19/2008,5.88,10,213.942,219435,240313.9824,102567.5183,112326.6971
4/26/2008,6.03,10,213.942,217000,240313.9824,101429.3594,112326.6971
5/3/2008,6.06,10,215.208,220000,239144.3532,102226.683,111122.4272
5/10/2008,6.05,10,215.208,218450,239144.3532,101506.4496,111122.4272
5/17/2008,6.01,10,215.208,220000,239144.3532,102226.683,111122.4272
5/24/2008,5.98,10,215.208,219900,239144.3532,102180.2163,111122.4272
5/31/2008,6.08,10,215.208,215000,239144.3532,99903.34932,111122.4272
6/7/2008,6.09,10,217.463,215000,238699.7428,98867.39353,109765.681
6/14/2008,6.32,10,217.463,219000,238699.7428,100706.7869,109765.681
6/21/2008,6.42,10,217.463,209450,238699.7428,96315.23524,109765.681
6/28/2008,6.45,10,217.463,215000,238699.7428,98867.39353,109765.681
7/5/2008,6.35,9.9,219.016,213000,236502.783,97253.16872,107984.2491
7/12/2008,6.37,9.9,219.016,216900,236502.783,99033.86054,107984.2491
7/19/2008,6.26,9.9,219.016,220000,236502.783,100449.2822,107984.2491
7/26/2008,6.63,9.9,219.016,215000,236502.783,98166.34401,107984.2491
8/2/2008,6.52,9.9,219.016,209950,232468.2195,95860.5764,106142.1172
8/9/2008,6.52,9.9,218.69,215000,232468.2195,98312.68005,106300.3427
8/16/2008,6.52,9.9,218.69,219250,232468.2195,100256.0702,106300.3427
8/23/2008,6.47,9.9,218.69,225000,232468.2195,102885.3628,106300.3427
8/30/2008,6.4,9.9,218.69,205500,232468.2195,93968.6314,106300.3427
9/6/2008,6.35,9.9,218.877,215000,230064.6043,98228.68552,105111.3659
9/13/2008,5.93,9.9,218.877,214800,230064.6043,98137.31,105111.3659
9/20/2008,5.78,9.9,218.877,210000,230064.6043,95944.29748,105111.3659
9/27/2008,6.09,9.9,218.877,200000,230064.6043,91375.52141,105111.3659
10/4/2008,6.1,10.1,216.995,205700,227681.6792,94794.81094,104924.8504
10/11/2008,5.94,10.1,216.995,200000,227681.6792,92168.0223,104924.8504
10/18/2008,6.46,10.1,216.995,208000,227681.6792,95854.7432,104924.8504
10/25/2008,6.04,10.1,216.995,198000,227681.6792,91246.34208,104924.8504
11/1/2008,6.46,10.1,216.995,200000,224013.8076,92168.0223,103234.5481
11/8/2008,6.2,10.1,213.153,195000,224013.8076,91483.58222,105095.3107
11/15/2008,6.14,10.1,213.153,195750,224013.8076,91835.44215,105095.3107
11/22/2008,6.04,10.1,213.153,200000,224013.8076,93829.31509,105095.3107
12/6/2008,5.53,10.1,211.398,201000,221647.6625,95081.31581,104848.5144
12/13/2008,5.47,10.1,211.398,210000,221647.6625,99338.68816,104848.5144
12/20/2008,5.19,10.1,211.398,185000,221647.6625,87512.65386,104848.5144
1/3/2009,5.1,10.1,211.933,193750,218837.9127,91420.40173,103258.064
1/10/2009,5.01,10.1,211.933,194450,218837.9127,91750.6948,103258.064
1/17/2009,4.96,10.1,211.933,182250,218837.9127,85994.15853,103258.064
1/24/2009,5.12,10.1,211.933,189500,218837.9127,89415.05098,103258.064
1/31/2009,5.1,10.1,211.933,189900,218837.9127,89603.78988,103258.064
2/7/2009,5.25,10.1,212.705,182250,215530.8568,85682.04791,101328.5333
2/14/2009,5.16,10.1,212.705,188388,215530.8568,88567.73466,101328.5333
2/21/2009,5.04,10.1,212.705,179750,215530.8568,84506.71117,101328.5333
2/28/2009,5.07,10.1,212.705,179400,215530.8568,84342.16403,101328.5333
3/7/2009,5.15,10.1,212.495,175500,212147.4743,82590.17859,99836.45463
3/14/2009,5.03,10.1,212.495,185000,212147.4743,87060.87202,99836.45463
3/21/2009,4.98,10.1,212.495,189250,212147.4743,89060.91908,99836.45463
3/28/2009,4.85,10.1,212.495,179250,212147.4743,84354.926,99836.45463
4/4/2009,4.78,10.6,212.709,175000,212369.525,82272.02422,99840.40402
4/11/2009,4.87,10.6,212.709,183000,212369.525,86033.03104,99840.40402
4/18/2009,4.82,10.6,212.709,178500,212369.525,83917.46471,99840.40402
4/25/2009,4.8,10.6,212.709,175000,212369.525,82272.02422,99840.40402
5/2/2009,4.78,10.6,212.709,175650,213355.8286,82577.60603,100304.0909
5/9/2009,4.84,10.6,213.022,186250,213355.8286,87432.28399,100156.7109
5/16/2009,4.86,10.6,213.022,180000,213355.8286,84498.31473,100156.7109
5/23/2009,4.82,10.6,213.022,180000,213355.8286,84498.31473,100156.7109
5/30/2009,4.91,10.6,213.022,198000,213355.8286,92948.1462,100156.7109
6/6/2009,5.29,10.6,214.79,191000,213660.6328,88924.06537,99474.19937
6/13/2009,5.59,10.6,214.79,190000,213660.6328,88458.49434,99474.19937
6/20/2009,5.38,10.6,214.79,185000,213660.6328,86130.63923,99474.19937
6/27/2009,5.42,10.6,214.79,187500,213660.6328,87294.56679,99474.19937
7/4/2009,5.32,11.1,214.726,193000,213920.6898,89881.98914,99624.95916
7/11/2009,5.2,11.1,214.726,191750,213920.6898,89299.8519,99624.95916
7/18/2009,5.14,11.1,214.726,191900,213920.6898,89369.70837,99624.95916
7/25/2009,5.2,11.1,214.726,185000,213920.6898,86156.31083,99624.95916
8/1/2009,5.25,11.1,214.726,192500,214262.8872,89649.13425,99784.32384
8/8/2009,5.22,11.1,215.445,189900,214262.8872,88143.14558,99451.31575
8/15/2009,5.29,11.1,215.445,190450,214262.8872,88398.43115,99451.31575
8/22/2009,5.12,11.1,215.445,183000,214262.8872,84940.47205,99451.31575
8/29/2009,5.14,11.1,215.445,195000,214262.8872,90510.33907,99451.31575
9/5/2009,5.08,11.1,215.861,185000,212773.1804,85703.29981,98569.53334
9/12/2009,5.07,11.1,215.861,193000,212773.1804,89409.38845,98569.53334
9/19/2009,5.04,11.1,215.861,189000,212773.1804,87556.34413,98569.53334
9/26/2009,5.04,11.1,215.861,183700,212773.1804,85101.0604,98569.53334
10/3/2009,4.94,10.7,216.509,187000,211820.2184,86370.54349,97834.37105
10/10/2009,4.87,10.7,216.509,180000,211820.2184,83137.42154,97834.37105
10/17/2009,4.92,10.7,216.509,180700,211820.2184,83460.73373,97834.37105
10/24/2009,5,10.7,216.509,185000,211820.2184,85446.79436,97834.37105
10/31/2009,5.03,10.7,216.509,179000,211820.2184,82675.54697,97834.37105
11/7/2009,4.98,10.7,217.234,184500,210913.599,84931.4564,97090.51023
11/14/2009,4.91,10.7,217.234,176450,210913.599,81225.77497,97090.51023
11/21/2009,4.83,10.7,217.234,180000,210913.599,82859.95747,97090.51023
12/5/2009,4.71,10.7,217.347,174400,210861.1173,80240.35298,97015.88579
12/12/2009,4.81,10.7,217.347,180000,210861.1173,82816.87808,97015.88579
12/19/2009,4.94,10.7,217.347,179900,210861.1173,82770.8687,97015.88579
12/26/2009,5.05,10.7,217.347,174500,210861.1173,80286.36236,97015.88579
1/2/2010,5.14,10.7,217.347,177250,210342.0675,81551.62022,96777.07423
1/9/2010,5.09,10.6,217.488,170000,210342.0675,78165.2321,96714.33253
1/16/2010,5.06,10.6,217.488,175000,210342.0675,80464.20952,96714.33253
1/23/2010,4.99,10.6,217.488,164900,210342.0675,75820.27514,96714.33253
1/30/2010,4.98,10.6,217.488,165000,210342.0675,75866.25469,96714.33253
2/6/2010,5.01,10.6,217.281,178500,210855.0723,82151.68376,97042.57264
2/13/2010,4.97,10.6,217.281,173000,210855.0723,79620.39939,97042.57264
2/20/2010,4.93,10.6,217.281,176500,210855.0723,81231.21672,97042.57264
2/27/2010,5.05,10.6,217.281,168000,210855.0723,77319.23178,97042.57264
3/6/2010,4.97,10.6,217.353,175750,212036.2995,80859.2474,97553.88675
3/13/2010,4.95,10.6,217.353,180000,212036.2995,82814.59193,97553.88675
3/20/2010,4.96,10.6,217.353,174000,212036.2995,80054.10553,97553.88675
3/27/2010,4.99,10.6,217.353,179950,212036.2995,82791.58788,97553.88675
4/3/2010,5.08,10.6,217.403,187000,212608.5468,86015.37237,97794.67019
4/10/2010,5.21,10.6,217.403,190000,212608.5468,87395.29813,97794.67019
4/17/2010,5.07,10.6,217.403,179450,212608.5468,82542.55921,97794.67019
4/24/2010,5.07,10.6,217.403,175000,212608.5468,80495.66933,97794.67019
5/1/2010,5.06,10.6,217.403,177700,213695.8737,81737.60252,98294.81363
5/8/2010,5,10.6,217.29,181500,213695.8737,83528.92448,98345.9311
5/15/2010,4.93,10.6,217.29,182500,213695.8737,83989.13894,98345.9311
5/22/2010,4.84,10.6,217.29,179900,213695.8737,82792.58134,98345.9311
5/29/2010,4.78,10.6,217.29,179900,213695.8737,82792.58134,98345.9311
6/5/2010,4.79,10.6,217.199,185250,212960.9903,85290.44793,98048.7895
6/12/2010,4.72,10.6,217.199,192000,212960.9903,88398.19705,98048.7895
6/19/2010,4.75,10.6,217.199,185000,212960.9903,85175.34611,98048.7895
6/26/2010,4.69,10.6,217.199,187250,212960.9903,86211.26248,98048.7895
7/3/2010,4.58,10.3,217.605,195000,211289.7911,89611.91149,97097.85673
7/10/2010,4.57,10.3,217.605,185000,211289.7911,85016.42885,97097.85673
7/17/2010,4.57,10.3,217.605,204000,211289.7911,93747.84587,97097.85673
7/24/2010,4.56,10.3,217.605,192000,211289.7911,88233.2667,97097.85673
7/31/2010,4.54,10.3,217.605,199900,211289.7911,91863.69798,97097.85673
8/7/2010,4.49,10.3,217.923,197750,208588.3534,90743.06062,95716.53906
8/14/2010,4.44,10.3,217.923,185000,208588.3534,84892.37024,95716.53906
8/21/2010,4.42,10.3,217.923,190000,208588.3534,87186.75863,95716.53906
8/28/2010,4.36,10.3,217.923,194000,208588.3534,89022.26933,95716.53906
9/4/2010,4.32,10.3,218.275,195000,205197.073,89336.84572,94008.50898
9/11/2010,4.35,10.3,218.275,185000,205197.073,84755.46902,94008.50898
9/18/2010,4.37,10.3,218.275,175000,205197.073,80174.09231,94008.50898
9/25/2010,4.37,10.3,218.275,193875,205197.073,88821.44084,94008.50898
10/2/2010,4.32,10.3,218.275,187750,203026.8003,86015.34761,93014.22531
10/9/2010,4.27,9.4,219.035,182750,203026.8003,83434.15436,92691.4878
10/16/2010,4.19,9.4,219.035,180000,203026.8003,82178.64725,92691.4878
10/23/2010,4.21,9.4,219.035,177950,203026.8003,81242.72377,92691.4878
10/30/2010,4.23,9.4,219.035,180000,203026.8003,82178.64725,92691.4878
11/6/2010,4.24,9.4,219.59,174000,201321.8695,79238.58099,91680.80037
11/13/2010,4.17,9.4,219.59,172950,201321.8695,78760.41714,91680.80037
11/20/2010,4.39,9.4,219.59,175000,201321.8695,79693.97514,91680.80037
12/4/2010,4.46,9.4,220.472,189950,196847.6247,86156.06517,89284.63693
12/11/2010,4.61,9.4,220.472,195000,196847.6247,88446.60546,89284.63693
12/18/2010,4.83,9.4,220.472,172500,196847.6247,78241.22791,89284.63693
12/25/2010,4.81,9.4,220.472,167500,196847.6247,75973.36623,89284.63693
1/1/2011,4.86,9.4,220.472,170000,195527.9942,77107.29707,88686.08901
1/8/2011,4.77,9.7,221.187,175000,195527.9942,79118.57388,88399.406
1/15/2011,4.71,9.7,221.187,172300,195527.9942,77897.88731,88399.406
1/22/2011,4.74,9.7,221.187,169900,195527.9942,76812.83258,88399.406
1/29/2011,4.8,9.7,221.187,165000,195527.9942,74597.51251,88399.406
2/5/2011,4.81,9.7,221.898,166250,192925.7692,74921.81092,86943.44663
2/12/2011,5.05,9.7,221.898,170000,192925.7692,76611.77658,86943.44663
2/19/2011,5,9.7,221.898,162500,192925.7692,73231.84526,86943.44663
2/26/2011,4.95,9.7,221.898,164000,192925.7692,73907.83153,86943.44663
3/5/2011,4.87,9.7,223.046,165000,192019.1817,73975.77181,86089.498
3/12/2011,4.88,9.7,223.046,163000,192019.1817,73079.09579,86089.498
3/19/2011,4.76,9.7,223.046,166550,192019.1817,74670.69573,86089.498
3/26/2011,4.81,9.7,223.046,154950,192019.1817,69469.9748,86089.498
4/2/2011,4.86,9.7,223.046,165000,190586.0736,73975.77181,85446.98116
4/9/2011,4.87,9.2,224.093,166000,190586.0736,74076.38793,85047.75856
4/16/2011,4.91,9.2,224.093,157250,190586.0736,70171.75905,85047.75856
4/23/2011,4.8,9.2,224.093,159900,190586.0736,71354.30379,85047.75856
4/30/2011,4.78,9.2,224.093,169702,190586.0736,75728.38063,85047.75856
5/7/2011,4.71,9.2,224.806,165000,189564.7636,73396.61753,84323.7118
5/14/2011,4.63,9.2,224.806,165086,189564.7636,73434.87273,84323.7118
5/21/2011,4.61,9.2,224.806,174550,189564.7636,77644.72478,84323.7118
5/28/2011,4.6,9.2,224.806,175000,189564.7636,77844.89738,84323.7118
6/4/2011,4.55,9.2,224.806,168000,188356.3892,74731.10148,83786.19309
6/11/2011,4.49,9.2,224.806,174900,188356.3892,77800.41458,83786.19309
6/18/2011,4.5,9.2,224.806,177000,188356.3892,78734.55335,83786.19309
6/25/2011,4.5,9.2,224.806,176900,188356.3892,78690.07055,83786.19309
7/2/2011,4.51,9.2,224.806,179000,186632.5451,79624.20932,83019.37898
7/9/2011,4.6,9.8,225.395,184850,186632.5451,82011.57967,82802.43356
7/16/2011,4.51,9.8,225.395,170000,186632.5451,75423.14603,82802.43356
7/23/2011,4.52,9.8,225.395,184000,186632.5451,81634.46394,82802.43356
7/30/2011,4.55,9.8,225.395,167750,186632.5451,74424.89851,82802.43356
8/6/2011,4.39,9.8,226.106,177000,185624.8491,78281.8678,82096.38358
8/13/2011,4.32,9.8,226.106,180400,185624.8491,79785.58729,82096.38358
8/20/2011,4.15,9.8,226.106,170625,185624.8491,75462.39374,82096.38358
8/27/2011,4.22,9.8,226.106,168000,185624.8491,74301.43384,82096.38358
9/3/2011,4.22,9.8,226.597,165000,183873.7085,72816.49801,81145.69413
9/10/2011,4.12,9.8,226.597,161566,183873.7085,71301.03223,81145.69413
9/17/2011,4.09,9.8,226.597,161250,183873.7085,71161.5776,81145.69413
9/24/2011,4.09,9.8,226.597,164850,183873.7085,72750.3012,81145.69413
10/1/2011,4.01,9.8,226.597,165000,182418.6818,72816.49801,80503.57323
10/8/2011,3.94,9.4,226.75,158000,182418.6818,69680.26461,80449.25328
10/15/2011,4.12,9.4,226.75,163500,182418.6818,72105.84344,80449.25328
10/22/2011,4.11,9.4,226.75,157000,182418.6818,69239.25028,80449.25328
10/29/2011,4.1,9.4,226.75,157750,182418.6818,69570.01103,80449.25328
11/5/2011,4,9.4,227.169,146788,180675.798,64616.21084,79533.65029
11/12/2011,3.99,9.4,227.169,159000,180675.798,69991.94432,79533.65029
11/19/2011,4,9.4,227.169,159000,180675.798,69991.94432,79533.65029
12/3/2011,4,9.4,227.223,163200,178427.6675,71823.71503,78525.35503
12/10/2011,3.99,9.4,227.223,150000,178427.6675,66014.44396,78525.35503
12/17/2011,3.94,9.4,227.223,159900,178427.6675,70371.39726,78525.35503
12/24/2011,3.91,9.4,227.223,146000,178427.6675,64254.05879,78525.35503
12/31/2011,3.95,9.4,227.223,155900,178427.6675,68611.01209,78525.35503
1/7/2012,3.91,8.8,227.842,149000,178314.2386,65396.19561,78262.23373
1/14/2012,3.89,8.8,227.842,153325,178314.2386,67294.44088,78262.23373
1/21/2012,3.88,8.8,227.842,153000,178314.2386,67151.79818,78262.23373
1/28/2012,3.98,8.8,227.842,145050,178314.2386,63662.53807,78262.23373
2/4/2012,3.87,8.8,228.329,147000,178481.3775,64380.78387,78168.51014
2/11/2012,3.87,8.8,228.329,150000,178481.3775,65694.67742,78168.51014
2/18/2012,3.87,8.8,228.329,145000,178481.3775,63504.85484,78168.51014
2/25/2012,3.95,8.8,228.329,152902,178481.3775,66965.65044,78168.51014
3/3/2012,3.9,8.8,228.807,145500,180394.2209,63590.71182,78841.2159
3/10/2012,3.88,8.8,228.807,150000,180394.2209,65557.43487,78841.2159
3/17/2012,3.92,8.8,228.807,154900,180394.2209,67698.97774,78841.2159
3/24/2012,4.08,8.8,228.807,166389,180394.2209,72720.2402,78841.2159
3/31/2012,3.99,8.8,228.807,155000,180394.2209,67742.6827,78841.2159
4/7/2012,3.98,8.6,229.187,158750,181759.6088,69266.58144,79306.24722
4/14/2012,3.88,8.6,229.187,160000,181759.6088,69811.98759,79306.24722
4/21/2012,3.9,8.6,229.187,160450,181759.6088,70008.33381,79306.24722
4/28/2012,3.88,8.6,229.187,165000,181759.6088,71993.6122,79306.24722
5/5/2012,3.84,8.6,228.713,162200,183341.4072,70918.57481,80162.2152
5/12/2012,3.83,8.6,228.713,165500,183341.4072,72361.43114,80162.2152
5/19/2012,3.79,8.6,228.713,171944,183341.4072,75178.93605,80162.2152
5/26/2012,3.78,8.6,228.713,173624,183341.4072,75913.48109,80162.2152
6/2/2012,3.75,8.6,228.713,172000,186391.2211,75203.42088,81495.68284
6/9/2012,3.67,8.6,228.524,172000,186391.2211,75265.61762,81563.08357
6/16/2012,3.71,8.6,228.524,175000,186391.2211,76578.39002,81563.08357
6/23/2012,3.66,8.6,228.524,182000,186391.2211,79641.52562,81563.08357
6/30/2012,3.66,8.6,228.524,177600,186391.2211,77716.1261,81563.08357
7/7/2012,3.62,8.6,228.59,187950,187257.8432,82221.44451,81918.65049
7/14/2012,3.56,8.6,228.59,179900,187257.8432,78699.85564,81918.65049
7/21/2012,3.53,8.6,228.59,185000,187257.8432,80930.92436,81918.65049
7/28/2012,3.49,8.6,228.59,180000,187257.8432,78743.60208,81918.65049
8/4/2012,3.55,8.6,229.918,180345,188525.2943,78438.83471,81996.75288
8/11/2012,3.59,8.6,229.918,175000,188525.2943,76114.09285,81996.75288
8/18/2012,3.62,8.6,229.918,175000,188525.2943,76114.09285,81996.75288
8/25/2012,3.66,8.6,229.918,183056,188525.2943,79617.95075,81996.75288
9/1/2012,3.59,8.6,229.918,182000,190496.8368,79158.65656,82854.25098
9/8/2012,3.55,8.6,231.015,185000,190496.8368,80081.38,82460.80851
9/15/2012,3.55,8.6,231.015,175000,190496.8368,75752.65675,82460.80851
9/22/2012,3.49,8.6,231.015,177000,190496.8368,76618.4014,82460.80851
9/29/2012,3.4,8.6,231.015,181250,190496.8368,78458.10878,82460.80851
10/6/2012,3.36,8.7,231.638,175000,192175.7088,75548.91684,82963.80937
10/13/2012,3.39,8.7,231.638,175000,192175.7088,75548.91684,82963.80937
10/20/2012,3.37,8.7,231.638,173000,192175.7088,74685.50065,82963.80937
10/27/2012,3.41,8.7,231.638,164000,192175.7088,70800.12779,82963.80937
11/3/2012,3.39,8.7,231.249,171500,192959.1609,74162.48286,83442.16015
11/10/2012,3.4,8.7,231.249,169000,192959.1609,73081.39711,83442.16015
